record_ID,units_sold
212645,17.0
212646,22.0
212647,29.0
212648,30.0
212649,20.0
212653,27.0
212654,42.0
212657,18.0
212658,12.0
212661,182.0
212662,92.0
212663,53.0
212666,71.0
212667,90.0
212668,108.0
212671,41.0
212672,108.0
212673,75.0
212674,348.0
212675,20.0
212676,11.0
212677,79.0
212678,63.0
212679,37.0
212681,42.0
212682,87.0
212683,24.0
212686,81.0
212687,88.0
212688,25.0
212689,4.0
212691,23.0
212692,51.0
212693,32.0
212694,41.0
212695,40.0
212696,38.0
212697,85.0
212698,34.0
212699,182.0
212700,20.0
212701,16.0
212702,40.0
212703,52.0
212704,32.0
212705,26.0
212706,34.0
212707,41.0
212709,6.0
212710,15.0
212711,37.0
212712,37.0
212713,25.0
212716,24.0
212717,30.0
212718,17.0
212719,27.0
212721,78.0
212722,24.0
212723,123.0
212724,14.0
212725,9.0
212727,32.0
212728,64.0
212729,32.0
212731,32.0
212732,42.0
212734,5.0
212735,7.0
212736,12.0
212737,249.0
212738,214.0
212739,77.0
212740,19.0
212742,82.0
212743,111.0
212744,207.0
212748,231.0
212749,103.0
212750,541.0
212751,39.0
212752,24.0
212754,119.0
212755,95.0
212756,93.0
212757,48.0
212758,84.0
212759,113.0
212760,10.0
212761,77.0
212763,12.0
212764,94.0
212765,89.0
212767,44.0
212768,54.0
212769,58.0
212772,38.0
212773,58.0
212774,35.0
212775,241.0
212776,11.0
212777,8.0
212778,54.0
212779,34.0
212782,49.0
212783,63.0
212787,200.0
212788,110.0
212789,75.0
212790,17.0
212792,89.0
212793,100.0
212794,117.0
212796,139.0
212797,129.0
212798,413.0
212799,29.0
212800,11.0
212802,89.0
212803,78.0
212805,48.0
212806,66.0
212807,104.0
212809,36.0
212812,39.0
212816,15.0
212817,27.0
212818,34.0
212819,23.0
212820,27.0
212821,34.0
212822,58.0
212823,26.0
212824,117.0
212825,15.0
212826,10.0
212828,42.0
212829,53.0
212830,28.0
212831,28.0
212832,34.0
212833,33.0
212834,30.0
212835,27.0
212837,7.0
212838,21.0
212839,27.0
212840,22.0
212843,49.0
212844,18.0
212845,86.0
212846,9.0
212849,40.0
212850,24.0
212853,23.0
212856,39.0
212857,22.0
212860,11.0
212861,46.0
212862,52.0
212863,11.0
212866,103.0
212867,41.0
212868,240.0
212869,25.0
212870,25.0
212872,44.0
212873,64.0
212874,26.0
212875,29.0
212876,39.0
212877,35.0
212879,16.0
212880,29.0
212881,34.0
212884,14.0
